status,run_dir,run_name,run_group,c3,d4,lhe_file,mg5_generated_events,herwig_input,herwig_run,herwig_output_root,herwig_output_var_root,nevents,seed,reason
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.707107_0.0,HW-run_gg_4h_2_-0.707107_0.0,2,-0.707107,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.707107_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.707107_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.707107_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.707107_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.707107_0.0_var.smearCMS.root,10000,87246791,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_-100.0,HW-run_gg_4h_2_-0.866025_-100.0,2,-0.866025,-100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_-100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_-100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_-100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_-100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_-100.0_var.smearCMS.root,10000,127126705,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_-70.7107,HW-run_gg_4h_2_-0.866025_-70.7107,2,-0.866025,-70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_-70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_-70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_-70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_-70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_-70.7107_var.smearCMS.root,10000,130078005,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_0.0,HW-run_gg_4h_2_-0.866025_0.0,2,-0.866025,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_0.0_var.smearCMS.root,10000,123039214,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_100.0,HW-run_gg_4h_2_-0.866025_100.0,2,-0.866025,100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_100.0_var.smearCMS.root,10000,104531860,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_70.7107,HW-run_gg_4h_2_-0.866025_70.7107,2,-0.866025,70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.866025_70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.866025_70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.866025_70.7107_var.smearCMS.root,10000,40506939,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.965926_0.0,HW-run_gg_4h_2_-0.965926_0.0,2,-0.965926,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-0.965926_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.965926_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-0.965926_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.965926_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-0.965926_0.0_var.smearCMS.root,10000,115477943,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_-100.0,HW-run_gg_4h_2_-1.0_-100.0,2,-1.0,-100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_-100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_-100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_-100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_-100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_-100.0_var.smearCMS.root,10000,84024687,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_-70.7107,HW-run_gg_4h_2_-1.0_-70.7107,2,-1.0,-70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_-70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_-70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_-70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_-70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_-70.7107_var.smearCMS.root,10000,56940720,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_0.0,HW-run_gg_4h_2_-1.0_0.0,2,-1.0,0.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_0.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_0.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_0.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_0.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_0.0_var.smearCMS.root,10000,85708361,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_100.0,HW-run_gg_4h_2_-1.0_100.0,2,-1.0,100.0,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_100.0/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_100.0.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_100.0.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_100.0.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_100.0_var.smearCMS.root,10000,66192084,MG5 banner generated_events is not 10000
skipped_nonmatching_events,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_70.7107,HW-run_gg_4h_2_-1.0_70.7107,2,-1.0,70.7107,/mnt/ssd2/Projects/4H/MG5_aMC_v3_5_15/gg_4h_c3d4/Events/run_gg_4h_2_-1.0_70.7107/unweighted_events.lhe.gz,1,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_70.7107.in,HerwigSignalPoints/c3d4_10k/HW-run_gg_4h_2_-1.0_70.7107.run,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_70.7107.root,HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_2_-1.0_70.7107_var.smearCMS.root,10000,76950075,MG5 banner generated_events is not 10000
