file,run_group,c3,d4,entries,selected_entries,threshold,xsec_fb,rate_factor,effective_xsec_fb,generated_events,expected_preselected_events,expected_selected_events,expected_selected_error,raw_sigma_eff_fb,effective_sigma_eff_fb,effective_sigma_eff_error_fb,weighted_efficiency,raw_weight_efficiency,mean_score,background_events,limit_method,poisson_confidence_level,poisson_observed_events,required_signal_events_95cl,s_over_sqrt_b,significance_with_systematics,signal_scale_to_95cl,xsec_95cl_fb,excluded_95cl,gaussian_cl_target_s_over_sqrt_b,gaussian_required_signal_events,gaussian_signal_scale_to_target,gaussian_xsec_target_fb,gaussian_excluded_by_s_over_sqrt_b,fitted_effective_sigma_eff_fb,fitted_expected_selected_events,fitted_s_over_sqrt_b,fitted_significance_with_systematics,fitted_excluded_95cl,raw_xsec_fb,analysis_efficiency,xgboost_efficiency,final_efficiency
/home/apapaefs/Projects/AlpGen/alpgen_mod_repo/4H/HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.258819_0.0_var.smearCMS.root,4,-0.258819,0.0,964,87,0.904,0.000127294,0.06269990265972783,7.981321409167393e-06,10000,0.0023081981515312095,0.00020831248877926898,2.2333443038351178e-05,1.1074578e-06,6.943749625975633e-08,7.444481012783726e-09,0.09024896265560169,0.09024896265560166,0.5841128200657774,0.009360871016679349,poisson_cls,0.95,0,2.9957322735539904,0.0021530651778535054,0.0021530651778535054,14380.953782988561,1.8306091308517458,False,2.0,0.19350318877661266,928.908246982981,0.11824444639145158,False,7.122373958413934e-08,0.00021367121875241803,0.002208451655017304,0.002208451655017304,False,0.000127294,0.09639999999999997,0.09024896265560169,0.008700000000000001
/home/apapaefs/Projects/AlpGen/alpgen_mod_repo/4H/HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.5_-100.0_var.smearCMS.root,4,-0.5,-100.0,996,97,0.904,0.05774,0.06269990265972783,0.0036202923795726847,10000,1.081743363016318,0.10535050824556509,0.010696723454201225,0.0005600779999999998,3.511683608185503e-05,3.565574484733742e-06,0.09738955823293172,0.09738955823293173,0.5953778726267105,0.009360871016679349,poisson_cls,0.95,0,2.9957322735539904,1.0888761979750698,1.0888761979750698,28.43585971670052,1.641886540042288,False,2.0,0.19350318877661266,1.8367561011245384,0.10605429727893084,False,3.888013867346045e-05,0.11664041602038136,1.2055658282203858,1.2055658282203858,False,0.05774,0.09959999999999998,0.09738955823293172,0.009699999999999997
/home/apapaefs/Projects/AlpGen/alpgen_mod_repo/4H/HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.5_-70.7107_var.smearCMS.root,4,-0.5,-70.7107,1022,116,0.904,0.029751,0.06269990265972783,0.0018653848040295626,10000,0.5719269809154641,0.06491539118022882,0.006027242759054095,0.00034511160000000026,2.163846372674294e-05,2.0090809196846985e-06,0.11350293542074368,0.11350293542074363,0.605172750376276,0.009360871016679349,poisson_cls,0.95,0,2.9957322735539904,0.6709490586759228,0.6709490586759228,46.148258819495425,1.3729568481388084,False,2.0,0.19350318877661266,2.9808522333228673,0.08868333479358863,False,2.0245032348261297e-05,0.060735097044783894,0.627742596168777,0.627742596168777,False,0.029751,0.10220000000000004,0.11350293542074368,0.011600000000000008
/home/apapaefs/Projects/AlpGen/alpgen_mod_repo/4H/HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.5_0.0_var.smearCMS.root,4,-0.5,0.0,925,72,0.904,0.00013865999999999998,0.06269990265972783,8.693968502797859e-06,10000,0.002412576259526406,0.00018778971966043379,2.213123070150224e-05,9.98352e-07,6.259657322014459e-08,7.377076900500746e-09,0.07783783783783785,0.07783783783783783,0.5700912931128531,0.009360871016679349,poisson_cls,0.95,0,2.9957322735539904,0.001940947028808143,0.001940947028808143,15952.589305585794,2.211986033112526,False,2.0,0.19350318877661266,1030.4248237151114,0.14287870605633732,False,6.828956908049064e-08,0.0002048687072414719,0.0021174711232069673,0.0021174711232069673,False,0.00013865999999999998,0.09250000000000001,0.07783783783783785,0.0072000000000000015
/home/apapaefs/Projects/AlpGen/alpgen_mod_repo/4H/HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.5_100.0_var.smearCMS.root,4,-0.5,100.0,1001,96,0.904,0.049434,0.06269990265972783,0.0030995069880809857,10000,0.93078194852072,0.08926580125673239,0.009110652689986988,0.0004745664,2.9755267085577462e-05,3.0368842299956626e-06,0.0959040959040959,0.0959040959040959,0.6035268529040085,0.009360871016679349,poisson_cls,0.95,0,2.9957322735539904,0.9226287362094501,0.9226287362094501,33.55968614383612,1.6589895248343947,False,2.0,0.19350318877661266,2.1677191718706355,0.107159029542253,False,3.1436572126655115e-05,0.09430971637996535,0.9747613667373722,0.9747613667373722,False,0.049434,0.10010000000000001,0.0959040959040959,0.009600000000000001
/home/apapaefs/Projects/AlpGen/alpgen_mod_repo/4H/HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.5_70.7107_var.smearCMS.root,4,-0.5,70.7107,976,92,0.904,0.023846999999999997,0.06269990265972783,0.0014952045787265293,10000,0.4377959006511278,0.0412676463728522,0.004302449551474922,0.0002193923999999999,1.3755882124284066e-05,1.4341498504916407e-06,0.09426229508196719,0.0942622950819672,0.5835405232083744,0.009360871016679349,poisson_cls,0.95,0,2.9957322735539904,0.4265319515792902,0.4265319515792902,72.59275817398503,1.731119504175021,False,2.0,0.19350318877661266,4.688980491601483,0.11181811778322055,False,1.4981634338033948e-05,0.044944903014101846,0.46453914582242806,0.46453914582242806,False,0.023846999999999997,0.09759999999999999,0.09426229508196719,0.009199999999999996
/home/apapaefs/Projects/AlpGen/alpgen_mod_repo/4H/HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.707107_0.0_var.smearCMS.root,4,-0.707107,0.0,892,82,0.904,0.0001546,0.06269990265972783,9.693404951193922e-06,10000,0.0025939551649394937,0.0002384577617993705,2.6333254539896725e-05,1.2677199999999997e-06,7.948592059979016e-08,8.777751513298908e-09,0.09192825112107623,0.09192825112107623,0.5758168194959808,0.009360871016679349,poisson_cls,0.95,0,2.9957322735539904,0.0024646390925852396,0.0024646390925852396,12562.947211064105,1.9422316388305105,False,2.0,0.19350318877661266,811.4778370662518,0.1254544736104425,False,7.248132765209465e-08,0.00021744398295628394,0.0022474459912628047,0.0022474459912628047,False,0.0001546,0.0892,0.09192825112107623,0.008199999999999999
/home/apapaefs/Projects/AlpGen/alpgen_mod_repo/4H/HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.866025_-100.0_var.smearCMS.root,4,-0.866025,-100.0,998,95,0.904,0.06525,0.06269990265972783,0.004091168648547241,10000,1.2248958933750438,0.11659830648359641,0.011962733834195993,0.0006198750000000002,3.88661021611988e-05,3.987577944731998e-06,0.0951903807615231,0.09519038076152304,0.5913206023653551,0.009360871016679349,poisson_cls,0.95,0,2.9957322735539904,1.205130594702518,1.205130594702518,25.69275973125256,1.6764525724642296,False,2.0,0.19350318877661266,1.6595711774238813,0.10828701932690826,False,4.2250254622433134e-05,0.1267507638672994,1.3100638254972141,1.3100638254972141,False,0.06525,0.09979999999999999,0.0951903807615231,0.009500000000000003
/home/apapaefs/Projects/AlpGen/alpgen_mod_repo/4H/HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.866025_-70.7107_var.smearCMS.root,4,-0.866025,-70.7107,964,118,0.904,0.03332,0.06269990265972783,0.0020891607566221313,10000,0.6041852908151204,0.07395629078442342,0.0068082284130047905,0.00039317599999999986,2.4652096928141142e-05,2.2694094710015966e-06,0.12240663900414933,0.12240663900414937,0.5892190996816994,0.009360871016679349,poisson_cls,0.95,0,2.9957322735539904,0.7643935095023301,0.7643935095023301,40.50679451037244,1.3496863930856098,False,2.0,0.19350318877661266,2.6164534040878107,0.08718022742420586,False,2.1780744785794976e-05,0.06534223435738493,0.6753608017573132,0.6753608017573132,False,0.03332,0.0964,0.12240663900414933,0.011799999999999995
/home/apapaefs/Projects/AlpGen/alpgen_mod_repo/4H/HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.866025_0.0_var.smearCMS.root,4,-0.866025,0.0,839,82,0.904,0.00017256,0.06269990265972783,1.0819495202962633e-05,10000,0.0027232669425856946,0.0002661595819928807,2.9392408818917073e-05,1.4149919999999998e-06,8.871986066429358e-08,9.797469606305691e-09,0.09773539928486293,0.09773539928486293,0.5750325035364329,0.009360871016679349,poisson_cls,0.95,0,2.9957322735539904,0.002750958097131364,0.002750958097131364,11255.398926926931,1.9422316388305112,False,2.0,0.19350318877661266,727.0194344601447,0.12545447361044257,False,8.181037640746977e-08,0.0002454311292224093,0.0025367140539037237,0.0025367140539037237,False,0.00017256,0.08389999999999999,0.09773539928486293,0.008199999999999999
