index,c3,d4,run_name,target_events,herwig_generated_events,mg5_xsec_pb,mg5_xsec_fb,herwig_total_xsec_nb,analysis_xsec_fb,relative_difference,root_bytes,status
109,0.5,70.7107,run_gg_4h_5_0.5_70.7107,40000,40000,2.48359e-05,0.0248359,2.4833e-08,0.024833,0.000116766455011,37418903,ok
110,30.0,-700.0,run_gg_4h_5_30.0_-700.0,40000,40000,0.216564,216.564,0.000216559,216.559,2.30878631721e-05,37867864,ok
111,6.0,200.0,run_gg_4h_5_6.0_200.0,40000,40000,0.0029531,2.9531,2.953e-06,2.953,3.3862720531e-05,36547667,ok
112,9.0,-300.0,run_gg_4h_5_9.0_-300.0,40000,40000,0.0118844,11.8844,1.1883e-05,11.883,0.000117801487665,36804454,ok
113,3.0,200.0,run_gg_4h_5_3.0_200.0,40000,40000,0.00084349,0.84349,8.4343e-07,0.84343,7.11330306227e-05,36790634,ok
114,12.0,-300.0,run_gg_4h_5_12.0_-300.0,40000,40000,0.0175792,17.5792,1.7578e-05,17.578,6.82624920361e-05,36855482,ok
115,0.0,0.0,run_gg_4h_5_0.0_0.0,40000,40000,1.2451e-07,0.00012451,1.245e-10,0.0001245,8.03148341496e-05,37184963,ok
116,0.5,0.0,run_gg_4h_5_0.5_0.0,40000,40000,1.45028e-07,0.000145028,1.45e-10,0.000145,0.000193066166533,37501691,ok
117,-1.0,100.0,run_gg_4h_5_-1.0_100.0,40000,40000,6.1146e-05,0.061146,6.1143e-08,0.061143,4.90628986361e-05,37168299,ok
118,15.0,0.0,run_gg_4h_5_15.0_0.0,40000,40000,0.003566,3.566,3.5657e-06,3.5657,8.4127874369e-05,35619649,ok
119,-0.5,-100.0,run_gg_4h_5_-0.5_-100.0,40000,40000,5.7818e-05,0.057818,5.7812e-08,0.057812,0.000103773911239,37313841,ok
120,1.0,0.0,run_gg_4h_5_1.0_0.0,40000,40000,2.16409e-07,0.000216409,2.16404e-10,0.000216404,2.31043995396e-05,37604389,ok
121,9.0,300.0,run_gg_4h_5_9.0_300.0,40000,40000,0.0155688,15.5688,1.5568e-05,15.568,5.13848209239e-05,36453193,ok
122,-1.0,-100.0,run_gg_4h_5_-1.0_-100.0,40000,40000,6.8746e-05,0.068746,6.8737e-08,0.068737,0.000130916707881,37286461,ok
123,12.0,100.0,run_gg_4h_5_12.0_100.0,40000,40000,0.0058956,5.8956,5.8955e-06,5.8955,1.6961802022e-05,36103317,ok
124,6.0,-100.0,run_gg_4h_5_6.0_-100.0,40000,40000,0.00067436,0.67436,6.7429e-07,0.67429,0.000103802123495,36832224,ok
125,-3.0,-300.0,run_gg_4h_5_-3.0_-300.0,40000,40000,0.00173933,1.73933,1.7391e-06,1.7391,0.000132234826054,36781523,ok
126,0.0,200.0,run_gg_4h_5_0.0_200.0,40000,40000,0.000194625,0.194625,1.9461e-07,0.19461,7.70712909441e-05,37374339,ok
127,-0.5,-70.7107,run_gg_4h_5_-0.5_-70.7107,40000,40000,2.9841e-05,0.029841,2.984e-08,0.02984,3.35109413223e-05,37413665,ok
128,1.0,100.0,run_gg_4h_5_1.0_100.0,40000,40000,6.4932e-05,0.064932,6.4927e-08,0.064927,7.70036345714e-05,37315821,ok
129,9.0,100.0,run_gg_4h_5_9.0_100.0,40000,40000,0.0022836,2.2836,2.2834e-06,2.2834,8.75810124367e-05,36286146,ok
