file,run_group,c3,d4,entries,selected_entries,threshold,xsec_fb,rate_factor,effective_xsec_fb,generated_events,expected_preselected_events,expected_selected_events,expected_selected_error,raw_sigma_eff_fb,effective_sigma_eff_fb,weighted_efficiency,raw_weight_efficiency,mean_score,raw_xsec_fb,analysis_efficiency,xgboost_efficiency,final_efficiency
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.258819_0.0_var.smearCMS.root,4,-0.258819,0.0,964,87,0.904,0.000127294,0.06269990265972783,7.981321409167393e-06,10000,0.0023081981515312095,0.00020831248877926898,2.2333443038351178e-05,1.1074578e-06,6.943749625975633e-08,0.09024896265560169,0.09024896265560166,0.5841128200657774,0.000127294,0.09639999999999997,0.09024896265560169,0.008700000000000001
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.5_-100.0_var.smearCMS.root,4,-0.5,-100.0,996,97,0.904,0.05774,0.06269990265972783,0.0036202923795726847,10000,1.081743363016318,0.10535050824556509,0.010696723454201225,0.0005600779999999998,3.511683608185503e-05,0.09738955823293172,0.09738955823293173,0.5953778726267105,0.05774,0.09959999999999998,0.09738955823293172,0.009699999999999997
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.5_-70.7107_var.smearCMS.root,4,-0.5,-70.7107,1022,116,0.904,0.029751,0.06269990265972783,0.0018653848040295626,10000,0.5719269809154641,0.06491539118022882,0.006027242759054095,0.00034511160000000026,2.163846372674294e-05,0.11350293542074368,0.11350293542074363,0.605172750376276,0.029751,0.10220000000000004,0.11350293542074368,0.011600000000000008
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.5_0.0_var.smearCMS.root,4,-0.5,0.0,925,72,0.904,0.00013865999999999998,0.06269990265972783,8.693968502797859e-06,10000,0.002412576259526406,0.00018778971966043379,2.213123070150224e-05,9.98352e-07,6.259657322014459e-08,0.07783783783783785,0.07783783783783783,0.5700912931128531,0.00013865999999999998,0.09250000000000001,0.07783783783783785,0.0072000000000000015
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.5_100.0_var.smearCMS.root,4,-0.5,100.0,1001,96,0.904,0.049434,0.06269990265972783,0.0030995069880809857,10000,0.93078194852072,0.08926580125673239,0.009110652689986988,0.0004745664,2.9755267085577462e-05,0.0959040959040959,0.0959040959040959,0.6035268529040085,0.049434,0.10010000000000001,0.0959040959040959,0.009600000000000001
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.5_70.7107_var.smearCMS.root,4,-0.5,70.7107,976,92,0.904,0.023846999999999997,0.06269990265972783,0.0014952045787265293,10000,0.4377959006511278,0.0412676463728522,0.004302449551474922,0.0002193923999999999,1.3755882124284066e-05,0.09426229508196719,0.0942622950819672,0.5835405232083744,0.023846999999999997,0.09759999999999999,0.09426229508196719,0.009199999999999996
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.707107_0.0_var.smearCMS.root,4,-0.707107,0.0,892,82,0.904,0.0001546,0.06269990265972783,9.693404951193922e-06,10000,0.0025939551649394937,0.0002384577617993705,2.6333254539896725e-05,1.2677199999999997e-06,7.948592059979016e-08,0.09192825112107623,0.09192825112107623,0.5758168194959808,0.0001546,0.0892,0.09192825112107623,0.008199999999999999
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.866025_-100.0_var.smearCMS.root,4,-0.866025,-100.0,998,95,0.904,0.06525,0.06269990265972783,0.004091168648547241,10000,1.2248958933750438,0.11659830648359641,0.011962733834195993,0.0006198750000000002,3.88661021611988e-05,0.0951903807615231,0.09519038076152304,0.5913206023653551,0.06525,0.09979999999999999,0.0951903807615231,0.009500000000000003
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.866025_-70.7107_var.smearCMS.root,4,-0.866025,-70.7107,964,118,0.904,0.03332,0.06269990265972783,0.0020891607566221313,10000,0.6041852908151204,0.07395629078442342,0.0068082284130047905,0.00039317599999999986,2.4652096928141142e-05,0.12240663900414933,0.12240663900414937,0.5892190996816994,0.03332,0.0964,0.12240663900414933,0.011799999999999995
HerwigSignalPoints/c3d4_10k/events/HW-run_gg_4h_4_-0.866025_0.0_var.smearCMS.root,4,-0.866025,0.0,839,82,0.904,0.00017256,0.06269990265972783,1.0819495202962633e-05,10000,0.0027232669425856946,0.0002661595819928807,2.9392408818917073e-05,1.4149919999999998e-06,8.871986066429358e-08,0.09773539928486293,0.09773539928486293,0.5750325035364329,0.00017256,0.08389999999999999,0.09773539928486293,0.008199999999999999
