sample_id,role,description,root_file,raw_root,source_run,source_lhe,cross_section_fb,generated_events,generated_sumw,k_factor,hbb_power,c_mistags,light_mistags,optional,regenerate,lhe_event_count,hard_event_policy
HW-gg_hhhh_SM,sm_hhhh,SM gg -> hhhh,ResonanceAnalysis/features/backgrounds/HW-gg_hhhh_SM_resonance.root,Signals/merged_bjet_study/HW-gg_hhhh_SM-S260713-merged-bjet-study.setup-sm-full-20260710.root,Signals/HW-gg_hhhh_SM.run,Signals/gg_hhhh_SM.lhe.gz,0.000124288,10000,,2.0,4,0,0,false,false,10000,existing_branch_complete
HW-gg_hhhbb_SM,sm_hhhbb,SM gg -> hhhg with forced g -> bb (hhh+bb approximation),ResonanceAnalysis/features/backgrounds/HW-gg_hhhbb_SM_resonance.root,HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_parallel2_w1/events/run_gg_hhhg_4_0.0_0.0_hhhbb_stage2.root,HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_parallel2_w1/run_gg_hhhg_4_0.0_0.0/run_gg_hhhg_4_0.0_0.0_hhhbb_stage2.run,HerwigForcedSplitting/gg_hhhg_c3d4_10k_hhhbb_parallel2_w1/run_gg_hhhg_4_0.0_0.0/run_gg_hhhg_4_0.0_0.0_split.weighted.merged.lhe.gz,0.000431371657238,10000,,2.0,3,0,0,false,false,10000,existing_branch_complete
HW-gg_hh4b_SM_HEFT,sm_hh4b,SM HEFT gg -> hh + 4b,ResonanceAnalysis/features/backgrounds/HW-gg_hh4b_SM_HEFT_resonance.root,HerwigSignalPoints/sm_hh4b_heft/events/HW-run_gg_hhbbbb_heft_4_0.0_0.0.root,HerwigSignalPoints/sm_hh4b_heft/HW-run_gg_hhbbbb_heft_4_0.0_0.0.run,Signals/sm_hh4b_heft/lhe/gg_hh4b_ufo_heft_sm_9515events_normalized.lhe,0.00962241,9515,,2.0,2,0,0,false,false,9515,existing_branch_complete
HW-gg_to_6b_2j,background,gg -> 6b + 2 light jets,ResonanceAnalysis/features/backgrounds/HW-gg_to_6b_2j_resonance.root,ResonanceAnalysis/raw_backgrounds/HW-gg_to_6b_2j-bhadmult-v1.root,Backgrounds/HW-gg_to_6b_2j.run,Backgrounds/merged_gg6b2j_events_50k_1_thusfar_20260703_weighted.lhe,680.764,20933,,2.0,0,0,2,false,true,20933,no_hard_event_reuse
HW-gg_to_4b_4j,background,gg -> 4b + 4 light jets,ResonanceAnalysis/features/backgrounds/HW-gg_to_4b_4j_resonance.root,Backgrounds/events/HW-gg_to_4b_4j.root,Backgrounds/HW-gg_to_4b_4j.run,Backgrounds/merged_gg4b4j_existing_28428_plus_1188_20260729_weighted.lhe,208632.0,29616,,2.0,0,0,4,false,false,29616,existing_branch_complete
