sample_id,role,description,root_file,raw_root,source_run,source_lhe,cross_section_fb,generated_events,generated_sumw,k_factor,hbb_power,c_mistags,light_mistags,optional,regenerate,lhe_event_count,hard_event_policy
HW-gg_hhhh_SM,sm_hhhh,SM gg -> hhhh,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-gg_hhhh_SM_resonance.root,Signals/merged_bjet_study/HW-gg_hhhh_SM-S260713-merged-bjet-study.setup-sm-full-20260710.root,Signals/HW-gg_hhhh_SM.run,Signals/gg_hhhh_SM.lhe.gz,0.000124288,10000,,2.0,4,0,0,false,false,10000,existing_branch_complete
HW-gg_to_8b,background,gg -> 8b,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-gg_to_8b_resonance.root,ResonanceAnalysis/raw_backgrounds/HW-gg_to_8b-bhadmult-v1.root,Backgrounds/HW-gg_to_8b.run,Backgrounds/merged_gg8b_colorflow_sherpa_runs_plus_150000_plus_200000_plus_300000_plus_400000_plus_500000_plus_600000_plus_700000_20260705_weighted.lhe,1.03875,708227,,2.0,0,0,0,false,true,708227,no_hard_event_reuse
HW-gg_h6b_heft,background,gg -> h + 6b with forced h -> bb,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-gg_h6b_heft_resonance.root,ResonanceAnalysis/raw_backgrounds/HW-gg_h6b_heft-bhadmult-v1.root,Backgrounds/HW-gg_h6b_heft.run,Backgrounds/merged_gg_h6b_heft_events_10k_1_plus_20k_2_20260707_weighted.lhe,0.000312497,30000,,2.0,1,0,0,false,true,30000,no_hard_event_reuse
HW-pp_to_z_6b_z_to_bb,background,pp -> Z + 6b with Z -> bb already selected,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-pp_to_z_6b_z_to_bb_resonance.root,ResonanceAnalysis/raw_backgrounds/HW-pp_to_z_6b_z_to_bb-bhadmult-v1.root,Backgrounds/HW-pp_to_z_6b_z_to_bb.run,Backgrounds/merged_z6b_events_10k_1_to_11_unique_20260703-121854.lhe,0.0337775,92825,,2.0,0,0,0,false,true,92825,no_hard_event_reuse
HW-gg_to_6b_2j,background,gg -> 6b + 2 light jets,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-gg_to_6b_2j_resonance.root,ResonanceAnalysis/raw_backgrounds/HW-gg_to_6b_2j-bhadmult-v1.root,Backgrounds/HW-gg_to_6b_2j.run,Backgrounds/merged_gg6b2j_events_50k_1_thusfar_20260703_weighted.lhe,680.764,20933,,2.0,0,0,2,false,true,20933,no_hard_event_reuse
HW-gg_to_6b_2c,background,gg -> 6b + ccbar,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-gg_to_6b_2c_resonance.root,ResonanceAnalysis/raw_backgrounds/HW-gg_to_6b_2c-bhadmult-v1.root,Backgrounds/HW-gg_to_6b_2c.run,Backgrounds/merged_gg6b2c_events_10k_1_to_5_20260703_weighted.lhe,5.23831,50000,,2.0,0,2,0,false,true,50000,no_hard_event_reuse
HW-ttbar4b_1c3j,background,ttbar + 4b candidate composition 4b+1c+3j,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-ttbar4b_1c3j_resonance.root,ResonanceAnalysis/raw_backgrounds/HW-ttbar4b_1c3j-bhadmult-v1.root,Backgrounds/HW-ttbar4b_1c3j.run,Backgrounds/merged_ttbar4b_1c3j_events_20k_1_20260706_weighted.lhe,0.809702,20000,,2.0,0,1,3,false,true,20000,no_hard_event_reuse
HW-ttbar4b_2c2j,background,ttbar + 4b candidate composition 4b+2c+2j,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-ttbar4b_2c2j_resonance.root,ResonanceAnalysis/raw_backgrounds/HW-ttbar4b_2c2j-bhadmult-v1.root,Backgrounds/HW-ttbar4b_2c2j.run,Backgrounds/merged_ttbar4b_2c2j_events_20k_1_snapshot_20260706_weighted.lhe,0.387863,20000,,2.0,0,2,2,false,true,20000,no_hard_event_reuse
HW-ttbar4b_0c4j,background,ttbar + 4b candidate composition 4b+4j,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-ttbar4b_0c4j_resonance.root,ResonanceAnalysis/raw_backgrounds/HW-ttbar4b_0c4j-bhadmult-v1.root,Backgrounds/HW-ttbar4b_0c4j.run,Backgrounds/merged_ttbar4b_0c4j_events_more_20k_snapshot_20260706_weighted.lhe,0.414381,20000,,2.0,0,0,4,false,true,20000,no_hard_event_reuse
HW-gg_to_4b_4c,background,gg -> 4b + 4c,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-gg_to_4b_4c_resonance.root,ResonanceAnalysis/raw_backgrounds/HW-gg_to_4b_4c-bhadmult-v1.root,Backgrounds/HW-gg_to_4b_4c.run,Backgrounds/merged_gg4b4c_events_20k_1_plus_20k_2_snapshot_20260708_weighted.lhe,9.19198,20346,,2.0,0,4,0,false,true,20346,no_hard_event_reuse
HW-gg_to_4b_4j,background,gg -> 4b + 4 light jets,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-gg_to_4b_4j_resonance.root,Backgrounds/events/HW-gg_to_4b_4j.root,Backgrounds/HW-gg_to_4b_4j.run,Backgrounds/merged_gg4b4j_runs_1000_plus_2000_plus_3000_plus_4000_plus_events_10k_1_snapshot_20260713_weighted.lhe,208632.0,13334,,2.0,0,0,4,false,false,13334,existing_branch_complete
HW-gg_to_4b_2c_2j,background,gg -> 4b + ccbar + 2 light jets,ResonanceAnalysis/features/cms-energy-uniform-fourvector-v1/backgrounds/HW-gg_to_4b_2c_2j_resonance.root,ResonanceAnalysis/raw_backgrounds/HW-gg_to_4b_2c_2j-bhadmult-v1.root,Backgrounds/HW-gg_to_4b_2c_2j.run,Backgrounds/merged_gg4b2c2j_events_20k_1_snapshot_20260706_weighted.lhe,1570.28,20000,,2.0,0,2,2,false,true,20000,no_hard_event_reuse
